Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_Sec,Flow_Packets_Sec,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_Sec,Bwd_Packets_Sec,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
443,5803195,7,4,599,156,517,0,85.57142857,191.3085267,156,0,39,78,41575,85685,580319.5,1572908.758,5042435,18,5803195,967199.1667,2031925.372,5104141,18,729864,243288,210473.7098,380233,937,0,0,0,0,232,136,1.206232084,0.689275477,0,517,62.91666667,150.0560249,22516.81061,0,0,0,1,0,0,0,0,0,68.63636364,85.57142857,39,0,0,0,0,0,0,7,599,4,156,29200,118,3,32,760742,0,760742,760742,5042435,0,5042435,5042435,BENIGN
53,30846,2,2,80,274,40,40,40,0,137,137,137,0,24494,104063,10282,17803.75025,30840,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,80,64,64.83822862,64.83822862,40,137,78.8,53.12908808,2822.7,0,0,0,0,0,0,0,0,1,98.5,40,137,0,0,0,0,0,0,2,80,2,274,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
52977,29,1,1,6,6,6,6,6,0,6,6,6,0,195726,221199,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,34482.75862,34482.75862,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,60,255,0,20,0,0,0,0,0,0,0,0,BENIGN
80,249639,5,1,302,0,302,0,60.4,135.0585058,0,0,0,0,1209.746874,24.03470612,49927.8,82618.70761,197430,4274,231953,57988.25,93102.06998,197430,4274,0,0,0,0,0,0,0,0,0,172,40,20.02892176,4.005784353,0,302,43.14285714,114.1452708,13029.14286,0,1,0,0,0,0,0,0,0,50.33333333,60.4,0,0,0,0,0,0,0,5,302,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
53,282,2,2,84,384,42,42,42,0,192,192,192,0,74415,110104,94,120.0041666,230,3,49,49,0,49,49,3,3,0,3,3,0,0,0,0,40,40,7092.198582,7092.198582,42,192,102,82.15838363,6750,0,0,0,0,0,0,0,0,1,127.5,42,192,0,0,0,0,0,0,2,84,2,384,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
33284,25,1,1,0,0,0,0,0,0,0,0,0,0,2,232183,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,40000,40000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,366,766,0,32,0,0,0,0,0,0,0,0,BENIGN
80,6400,1,1,0,0,0,0,0,0,0,0,0,0,0,312.5,6400,0,6400,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,156.25,156.25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,DoS Hulk
80,38837,3,1,0,0,0,0,0,0,0,0,0,0,0,102.994567,12945.66667,12878.97858,27799,4885,32684,16342,16202.64478,27799,4885,0,0,0,0,0,0,0,0,0,60,32,77.24592528,25.74864176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,271,0,0,0,0,0,0,0,0,0,0,DoS Hulk
53,186,2,2,92,156,46,46,46,0,78,78,78,0,44806,147405,62,24.24871131,90,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,40,40,10752.68817,10752.68817,46,78,58.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,73.5,46,78,0,0,0,0,0,0,2,92,2,156,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,30795,2,2,60,248,30,30,30,0,124,124,124,0,6301,104149,10265,17773.43937,30788,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,64.94560805,64.94560805,30,124,67.6,51.48592041,2650.8,0,0,0,0,0,0,0,0,1,84.5,30,124,0,0,0,0,0,0,2,60,2,248,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,116096,1,1,65,218,65,65,65,0,218,218,218,0,124153,119907,116096,0,116096,116096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,8.613561191,8.613561191,65,218,116,88.33459119,7803,0,0,0,0,0,0,0,0,1,174,65,218,0,0,0,0,0,0,1,65,1,218,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,38893597,6,1,287,0,287,0,47.83333333,117.1672594,0,0,0,0,7.379106643,0.179978211,6482266.167,15800000,38700000,5,165188,33037.6,60152.40082,140390,5,0,0,0,0,0,0,0,0,0,200,20,0.154267038,0.025711173,0,287,35.875,101.4698231,10296.125,0,0,1,0,0,0,0,0,0,41,47.83333333,0,0,0,0,0,0,0,6,287,1,0,-1,0,1,0,0,0,0,0,38700000,0,38700000,38700000,DoS Hulk
80,393256,7,1,358,0,358,0,51.14285714,135.3112813,0,0,0,0,910.3484753,20.34298269,56179.42857,95825.49922,231751,1,387745,64624.16667,102078.3881,231751,1,0,0,0,0,0,0,0,0,0,212,40,17.80010985,2.542872836,0,358,39.77777778,119.3333333,14240.44444,0,1,0,0,0,0,0,0,0,44.75,51.14285714,0,0,0,0,0,0,0,7,358,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
80,1250835,5,1,321,0,321,0,64.2,143.5555642,0,0,0,0,256.6285721,4.79679574,250167,436822.3774,1015467,10,235368,58842,101898.716,210854,10,0,0,0,0,0,0,0,0,0,168,40,3.997329784,0.799465957,0,321,45.85714286,121.3265958,14720.14286,0,1,0,0,0,0,0,0,0,53.5,64.2,0,0,0,0,0,0,0,5,321,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
80,62877862,9,1,409,0,188,0,45.44444444,75.61764197,0,0,0,0,6.504674093,0.159038486,6986429.111,9575191.596,21797442,635,62876487,7859560.875,9845843.932,21797442,635,0,0,0,0,0,0,0,0,0,288,40,0.143134638,0.015903849,0,188,37.18181818,70.08825605,4912.363636,0,1,0,0,0,0,0,0,0,40.9,45.44444444,0,0,0,0,0,0,0,9,409,1,0,-1,29200,6,0,2115066,1005846.668,2826307,1403825,19549243.33,2954544.842,21797442,16202862,DoS slowloris
53,61002,1,1,58,186,58,58,58,0,186,186,186,0,187872,172190,61002,0,61002,61002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16.39290515,16.39290515,58,186,100.6666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,151,58,186,0,0,0,0,0,0,1,58,1,186,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
60601,32,2,1,0,0,0,0,0,0,0,0,0,0,2,242273,16,18.38477631,29,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,64,32,62500,31250,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,362,32832,0,32,0,0,0,0,0,0,0,0,BENIGN
443,4599991,8,6,349,4797,201,0,43.625,74.90934998,2636,0,799.5,1049.972142,21527,163082,353845.4615,1234373.852,4461767,41,4599991,657141.5714,1677895.275,4461767,192,65615,13123,15764.66243,35705,49,0,0,0,0,172,132,1.739133837,1.304350378,0,2636,343.0666667,738.5551983,545463.781,0,0,0,1,0,0,0,0,0,367.5714286,43.625,799.5,0,0,0,0,0,0,8,349,6,4797,8192,946,7,20,0,0,0,0,0,0,0,0,BENIGN
64464,89,1,1,0,0,0,0,0,0,0,0,0,0,2,149558,89,0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11235.95506,11235.95506,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,63,33304,0,32,0,0,0,0,0,0,0,0,BENIGN
80,60147562,10,1,209,0,168,0,20.9,52.15031693,0,0,0,0,3.474787557,0.182883556,6014756.2,10481851.52,29049165,4,59149037,6572115.222,10959382.3,29049165,4,0,0,0,0,0,0,0,0,0,352,40,0.166257778,0.016625778,0,168,17.41666667,47.8681111,2291.356061,0,1,0,0,0,0,0,0,0,19,20.9,0,0,0,0,0,0,0,10,209,1,0,-1,29200,4,0,1198970.5,1146349.493,2009562,388379,19249873.67,10880734.58,29049165,7540617,DoS slowloris
80,5820,2,1,0,0,0,0,0,0,0,0,0,0,0,515.4639175,2910,4113.947253,5819,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,20,343.6426117,171.8213058,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,DoS Hulk
2330,282,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,63354,92275,141,130.1076477,233,49,282,141,130.1076477,233,49,0,0,0,0,0,0,0,0,0,60,0,10638.29787,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,0,0,0,0,0,0,3,43,0,0,16,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
80,40169603,5,1,389,0,389,0,77.8,173.9660886,0,0,0,0,9.683939371,0.149366674,8033920.6,17800000,39900000,3,40200000,10000000,19900000,39900000,2038,0,0,0,0,0,0,0,0,0,156,20,0.124472228,0.024894446,0,389,55.57142857,147.02818,21617.28571,0,0,1,0,0,0,0,0,0,64.83333333,77.8,0,0,0,0,0,0,0,5,389,1,0,-1,0,1,0,3,0,3,3,39900000,0,39900000,39900000,DoS Hulk
59122,408,2,1,0,0,0,0,0,0,0,0,0,0,2,225775,204,284.256926,405,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,64,32,4901.960784,2450.980392,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,351,32832,0,32,0,0,0,0,0,0,0,0,BENIGN
80,7134342,4,1,344,0,344,0,86,172,0,0,0,0,48.21748102,0.70083548,1783585.5,3400033.384,6881212,8209,7121997,2373999,3904972.715,6881212,8209,0,0,0,0,0,0,0,0,0,152,40,0.560668384,0.140167096,0,344,57.33333333,140.4374119,19722.66667,0,1,0,0,0,0,0,0,0,68.8,86,0,0,0,0,0,0,0,4,344,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
53,50617,2,2,92,170,46,46,46,0,85,85,85,0,228492,229221,16872.33333,29218.54244,50611,2,2,2,0,2,2,4,4,0,4,4,0,0,0,0,64,88,39.51241678,39.51241678,46,85,61.6,21.36117974,456.3,0,0,0,0,0,0,0,0,1,77,46,85,0,0,0,0,0,0,2,92,2,170,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
